id,FIPS,Total households!!Median household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Total households!!Mean household income (dollars),Margin of Error!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)
0500000US,21209,66966,2789,82824,2487
0500000US,21211,64240,3108,84096,4151
0500000US,21213,48311,3451,60543,4074
0500000US,21215,77738,6915,90035,5609
0500000US,21217,39055,2615,53202,4331
0500000US,21219,41865,4650,61316,10458
0500000US,21221,52279,6191,63696,4922
0500000US,21223,47470,7965,62457,6400
0500000US,21225,42844,3234,56945,3690
0500000US,21227,52007,1820,71487,2807
0500000US,21229,50794,4343,62267,4036
0500000US,21231,34039,2391,45817,3901
0500000US,21233,40947,2658,55956,3805
0500000US,21235,36897,3985,52771,4582
0500000US,21237,22458,5889,34629,4179
0500000US,21239,62629,3641,78278,3659
0500000US,22001,41177,3101,60714,2720
0500000US,22003,41009,2733,58725,4426
0500000US,22005,76589,3279,90486,2734
0500000US,22007,44744,6150,66086,6151
0500000US,22009,38077,3142,56810,3467
0500000US,22011,50738,3694,67939,4257
0500000US,22013,30300,2523,47447,3527
0500000US,22015,53806,2020,69781,2142
0500000US,22017,40866,1194,63440,2037
0500000US,22019,49452,1371,68570,1506
0500000US,22021,32174,5773,53766,7248
0500000US,22023,55000,13852,73072,8141
0500000US,22025,38854,7020,56414,4660
0500000US,22027,27303,2774,43588,4820
0500000US,22029,31813,5909,50944,4859
0500000US,22031,44230,3092,62327,3782
0500000US,22033,52719,1110,78287,1786
0500000US,22035,21161,2639,47832,17731
0500000US,22037,48129,4526,61705,4095
0500000US,22039,32180,2394,48559,2637
0500000US,22041,35466,2176,50778,3750
0500000US,22043,40792,2359,51799,3173
0500000US,22045,45274,2488,61526,2639
0500000US,22047,47797,5222,65719,3932
0500000US,22049,38523,4546,53442,3468
0500000US,22051,52558,831,72937,1242
0500000US,22053,39653,2929,63058,4137
0500000US,22055,54726,1425,78128,2220
0500000US,22057,53089,1955,70013,2346
0500000US,22059,36868,3549,55924,5174
0500000US,22061,34154,2582,57991,2689
0500000US,22063,63159,2432,79423,2723
0500000US,22065,27810,2807,42095,3110
0500000US,22067,33333,2531,48851,5498
0500000US,22069,27795,1572,46330,2852
0500000US,22071,39576,882,69101,1192
0500000US,22073,41314,1193,61898,1978
0500000US,22075,52386,5481,70354,4753
0500000US,22077,44269,3795,63812,5761
0500000US,22079,44852,1596,63194,1633
0500000US,22081,33446,6568,58685,10248
0500000US,22083,34422,5064,52624,3572
0500000US,22085,39465,2575,55435,2627
0500000US,22087,46011,2745,58103,2114
0500000US,22089,66620,2567,85659,3417
0500000US,22091,39895,6619,59235,10926
0500000US,22093,50661,3298,67315,3888
0500000US,22095,54821,4413,70892,4551
0500000US,22097,33288,2619,51184,2149
0500000US,22099,47974,3530,64946,3623
0500000US,22101,40485,1543,53850,1870
0500000US,22103,67706,1782,90764,1941
0500000US,22105,46297,1962,61841,2319
0500000US,22107,23870,2634,35383,3607
0500000US,22109,48866,2239,66596,2341
0500000US,22111,43083,4908,60230,4845
0500000US,22113,50690,2701,65057,3051
0500000US,22115,47772,1438,61413,2854
0500000US,22117,34985,2963,48957,2722
0500000US,22119,30358,1979,43862,2176
0500000US,22121,60908,4083,78134,5894
0500000US,22123,36528,5377,57350,7610
0500000US,22125,55510,4719,77270,6995
0500000US,22127,35398,6284,52593,3838
0500000US,23001,51412,1287,64932,1504
0500000US,23003,39824,1210,54766,1503
0500000US,23005,69708,1111,91780,1779
0500000US,23007,48053,2173,61008,2689
0500000US,23009,53068,1671,73107,2449
0500000US,23011,52929,1484,67582,1644
0500000US,23013,55402,1899,71919,3237
0500000US,23015,55180,2509,71585,2992
0500000US,23017,47275,1817,58633,1644
0500000US,23019,49374,1640,64604,1726
0500000US,23021,39470,1873,52700,2540
0500000US,23023,62131,2508,77034,3740
0500000US,23025,42491,2161,54655,1760
0500000US,23027,51564,1933,66690,2635
0500000US,23029,41384,1570,55594,3295
0500000US,23031,65538,1510,83393,2086
0500000US,24001,44065,1148,58382,1700
0500000US,24003,97810,1299,120607,1646
0500000US,24005,74127,922,98607,1163
0500000US,24009,104301,3548,122464,3432
0500000US,24011,54956,2419,73806,3409
0500000US,24013,93363,1867,111101,2323
0500000US,24015,72845,2208,87522,2662
0500000US,24017,95924,2651,109980,2358
0500000US,24019,52145,4243,71473,3691
0500000US,24021,91999,1580,111026,1789
0500000US,24023,49619,1948,65976,2905
0500000US,24025,85942,1584,104162,1404
0500000US,24027,117730,2023,144446,2197
0500000US,24029,56009,3890,82014,5073
0500000US,24031,106287,926,144723,1373
0500000US,24033,81969,837,99499,796
0500000US,24035,92167,4671,111727,4566
0500000US,24037,90438,3303,105445,2635
0500000US,24039,42165,3590,56287,3334
0500000US,24041,67204,5374,106007,7687
0500000US,24043,59719,1519,78098,2188
0500000US,24045,56608,1832,72643,2078
0500000US,24047,61145,2866,81914,3612
0500000US,24510,48840,715,71259,964
0500000US,25001,70621,1245,95153,2011
0500000US,25003,56674,1559,77382,1585
0500000US,25005,66157,880,85905,1129
0500000US,25007,71224,12123,107889,9983
0500000US,25009,75878,1022,105540,1189
0500000US,25011,59522,1827,78029,3104
0500000US,25013,53403,860,73364,1222
0500000US,25015,67044,1955,89156,2135
0500000US,25017,97012,1021,128969,963
0500000US,25019,105171,5612,137752,11528
0500000US,25021,99511,1321,136001,1733
0500000US,25023,85654,1241,110192,1333
0500000US,25025,64582,805,97859,1419
0500000US,25027,71895,745,93980,811
0500000US,26001,39735,1590,51507,2075
0500000US,26003,46007,4136,56871,3405
0500000US,26005,59883,1786,73341,1791
0500000US,26007,41991,1451,55792,2278
0500000US,26009,52589,1768,73056,3798
0500000US,26011,40769,1245,52232,1616
0500000US,26013,42444,2579,56533,3928
0500000US,26015,61016,2228,72837,2543
0500000US,26017,48005,1473,62262,1718
0500000US,26019,56639,3148,66502,2464
0500000US,26021,49135,1239,69988,1637
0500000US,26023,50536,1543,62583,2162
0500000US,26025,47426,1119,62076,1444
0500000US,26027,53571,1744,72977,2991
0500000US,26029,53207,2248,73906,3068
0500000US,26031,46161,2100,57588,1866
0500000US,26033,44483,2030,59000,2686
0500000US,26035,37369,1443,51340,2625
0500000US,26037,67482,1843,85412,2086
0500000US,26039,47443,3194,56699,2729
0500000US,26041,46490,2326,60245,2672
0500000US,26043,48966,2135,63416,3313
0500000US,26045,62474,1179,77341,2036
0500000US,26047,54055,1506,73656,2089
0500000US,26049,47006,731,63768,1000
0500000US,26051,43290,1368,55684,1935
0500000US,26053,38798,3213,54744,4120
0500000US,26055,61485,1900,81464,3020
0500000US,26057,44991,1870,58910,2271
0500000US,26059,48392,1547,61956,2049
0500000US,26061,42852,2010,58202,2706
0500000US,26063,46320,1020,60535,1905
0500000US,26065,50940,799,70454,1191
0500000US,26067,54343,2112,65383,1681
0500000US,26069,42102,1302,53596,2151
0500000US,26071,38918,2509,50742,2985
0500000US,26073,44408,1929,61803,1786
0500000US,26075,51431,1295,67112,1890
0500000US,26077,54431,1118,75995,1553
0500000US,26079,46004,2417,57184,2443
0500000US,26081,60351,858,81199,1084
0500000US,26083,49779,5065,65209,7975
0500000US,26085,34631,1689,44472,1822
0500000US,26087,58952,2015,73834,1960
0500000US,26089,63831,2584,89039,4520
0500000US,26091,53972,1421,67885,1961
0500000US,26093,80897,1486,99554,1601
0500000US,26095,42255,3662,54424,3356
0500000US,26097,46507,2323,59766,3110
0500000US,26099,60466,672,77123,739
0500000US,26101,47172,2038,61594,1974
0500000US,26103,50771,1421,64213,1722
0500000US,26105,49663,2106,67720,4359
0500000US,26107,44460,1813,59432,2443
0500000US,26109,45508,1955,59166,3736
0500000US,26111,59271,2398,83483,2650
0500000US,26113,44766,1878,56446,1773
0500000US,26115,61514,1239,75368,1526
0500000US,26117,47000,1473,58731,1737
0500000US,26119,42305,2634,51349,2887
0500000US,26121,48329,978,62402,1098
0500000US,26123,46724,1209,60384,2276
0500000US,26125,76387,629,104709,770
0500000US,26127,46217,2117,58946,1993
0500000US,26129,40150,1526,50896,1558
0500000US,26131,38906,2108,48234,2603
0500000US,26133,42689,1546,54390,1742
0500000US,26135,40255,2033,51133,4069
0500000US,26137,52645,2766,65210,2944
0500000US,26139,67468,984,84416,1384
0500000US,26141,46439,2090,58159,2740
0500000US,26143,40302,1468,50243,2679
0500000US,26145,46919,752,63998,1587
0500000US,26147,55240,1156,71761,1512
0500000US,26149,50117,1027,63362,1895
0500000US,26151,45277,1461,58769,1961
0500000US,26153,40747,2495,53464,2853
0500000US,26155,54742,1401,67078,1389
0500000US,26157,47694,1341,60307,1523
0500000US,26159,52351,1557,68533,2069
0500000US,26161,69434,1194,97553,1455
0500000US,26163,45321,376,65173,462
0500000US,26165,44166,1397,56414,2223
0500000US,27001,45989,2244,58231,1933
0500000US,27003,79923,1132,95333,1385
0500000US,27005,59278,1882,73240,2636
0500000US,27007,47410,2260,63860,2983
0500000US,27009,56357,2775,69687,2202
0500000US,27011,51920,3291,67841,3809
0500000US,27013,55861,1830,72902,1943
0500000US,27015,57728,3041,71471,3480
0500000US,27017,60390,2897,73094,2486
0500000US,27019,97895,2694,126462,2828
0500000US,27021,50173,1503,65925,1828
0500000US,27023,54552,5908,70112,4528
0500000US,27025,80409,2335,90821,2379
0500000US,27027,65000,2804,77035,2236
0500000US,27029,46291,1989,63192,3124
0500000US,27031,52271,3328,67969,5334
0500000US,27033,53354,2701,64063,3088
0500000US,27035,54508,1489,72640,2350
0500000US,27037,83288,1023,104036,1225
0500000US,27039,71669,2966,85669,3105
0500000US,27041,60676,3012,79619,4336
0500000US,27043,52286,2106,66434,3553
0500000US,27045,59451,1637,71813,1467
0500000US,27047,52447,1975,66076,2536
0500000US,27049,64765,2211,79784,2215
0500000US,27051,55912,2921,72452,4793
0500000US,27053,74113,672,105791,951
0500000US,27055,58729,2516,72056,2808
0500000US,27057,55472,1844,69597,2146
0500000US,27059,72473,2763,83575,3126
0500000US,27061,53022,1487,66341,2378
0500000US,27063,57010,3075,76507,9274
0500000US,27065,53300,1935,66248,2327
0500000US,27067,59089,2058,74827,1959
0500000US,27069,57112,3671,68959,3728
0500000US,27071,47129,4407,63498,5395
0500000US,27073,52199,1651,69725,3771
0500000US,27075,59516,5237,71210,3992
0500000US,27077,49068,2315,59126,4537
0500000US,27079,67451,2240,81478,2287
0500000US,27081,52301,1892,64657,2761
0500000US,27083,55525,1986,75523,5963
0500000US,27085,61275,2251,76081,3426
0500000US,27087,44537,2879,57930,2560
0500000US,27089,58723,2285,70095,2103
0500000US,27091,53915,4255,70643,3269
0500000US,27093,61856,1904,78475,3442
0500000US,27095,53888,2167,66229,2523
0500000US,27097,54962,1736,69782,3079
0500000US,27099,53665,3302,72049,2443
0500000US,27101,57500,3537,71722,2407
0500000US,27103,65027,3205,80859,3853
0500000US,27105,54149,3111,67408,2859
0500000US,27107,55206,2234,65898,2427
0500000US,27109,74880,1753,98903,1836
0500000US,27111,57131,1540,72053,1608
0500000US,27113,59036,5827,71514,3397
0500000US,27115,49138,1671,63277,2309
0500000US,27117,52309,5071,68284,4703
0500000US,27119,57151,2019,70094,2137
0500000US,27121,58132,2889,73627,3044
0500000US,27123,62304,705,85481,1130
0500000US,27125,56588,4027,69934,3834
0500000US,27127,53230,2747,67043,2488
0500000US,27129,57886,2870,73673,2154
0500000US,27131,65758,2206,81547,2039
0500000US,27133,59890,3719,74349,4815
0500000US,27135,59644,2194,70246,2913
0500000US,27137,53344,811,69669,1032
0500000US,27139,97744,2857,115191,2250
0500000US,27141,85818,2247,97264,2778
0500000US,27143,62761,1604,75700,2346
0500000US,27145,60606,1171,76763,1433
0500000US,27147,62731,2041,76092,2558
0500000US,27149,58363,3753,82726,7376
0500000US,27151,48577,2703,66431,3324
0500000US,27153,52872,1868,64015,1767
0500000US,27155,48784,4426,65261,4345
0500000US,27157,65138,1885,80557,3052
0500000US,27159,45860,2968,59811,3697
0500000US,27161,55612,2580,69330,2794
0500000US,27163,92376,1760,117077,2177
0500000US,27165,51097,3336,66407,3462
0500000US,27167,54935,3799,71968,8388
0500000US,27169,55529,2364,71118,2350
0500000US,27171,81881,2235,95286,2291
0500000US,27173,56943,3234,69706,3110
0500000US,28001,29203,2047,46533,2913
0500000US,28003,40180,2264,52866,3228
0500000US,28005,31854,3864,47982,4775
0500000US,28007,34756,2222,53875,4975
0500000US,28009,35974,5242,49735,6252
0500000US,28011,29912,1918,45259,3189
0500000US,28013,36440,1772,46008,2278
0500000US,28015,43060,5802,57919,6682
0500000US,28017,35939,3065,49593,3743
0500000US,28019,37203,3528,49162,3159
0500000US,28021,26732,4594,37060,4203
0500000US,28023,39246,2859,54759,3775
0500000US,28025,35121,4821,52076,4838
0500000US,28027,30009,3835,45686,3634
0500000US,28029,40361,3064,52386,3328
0500000US,28031,35931,6174,48334,3733
0500000US,28033,65169,1617,80337,2291
0500000US,28035,40675,2552,55876,3078
0500000US,28037,40810,6584,56576,5591
0500000US,28039,48319,5187,61420,5040
0500000US,28041,49447,5857,57615,5522
0500000US,28043,36877,3654,54163,4301
0500000US,28045,47543,4617,62769,3956
0500000US,28047,45566,1360,60470,1567
0500000US,28049,43005,1236,60097,1421
0500000US,28051,21093,1362,36109,3674
