FIPS,Median Household income 2012,Median Household income 2016,Median Household income 2018
24037,101264.0,78195.0,92250.0
24043,66169.0,54250.0,63126.0
24045,64167.0,50844.0,57249.0
24510,55699.0,47350.0,51000.0
25001,80444.0,67898.0,68902.0
25003,62757.0,58418.0,60476.0
25005,69655.0,66027.0,66205.0
25009,91908.0,73901.0,76604.0
25011,67335.0,57106.0,59248.0
25013,65409.0,51544.0,52372.0
25015,74589.0,64354.0,76966.0
25017,109773.0,95249.0,100517.0
25021,109630.0,92696.0,100356.0
25023,92803.0,82087.0,90484.0
25025,76164.0,61796.0,69985.0
25027,79867.0,69295.0,71853.0
26005,62955.0,57846.0,61353.0
26017,54907.0,44756.0,50606.0
26021,56877.0,47083.0,51262.0
26025,52258.0,45902.0,47204.0
26037,75783.0,65730.0,69522.0
26045,64410.0,56211.0,67195.0
26049,53282.0,43955.0,48127.0
26055,65394.0,58532.0,66163.0
26065,59273.0,49139.0,52691.0
26073,55715.0,41868.0,46198.0
26075,54308.0,50009.0,51031.0
26077,60758.0,53138.0,55416.0
26081,66712.0,59668.0,61537.0
26087,61448.0,54309.0,65561.0
26091,56429.0,51918.0,55378.0
26093,85802.0,78038.0,82884.0
26099,66005.0,60143.0,62107.0
26103,54564.0,51275.0,54779.0
26111,70777.0,57269.0,56091.0
26115,62064.0,60799.0,61916.0
26121,52064.0,44264.0,50080.0
26125,88380.0,71920.0,80193.0
26139,68415.0,64513.0,69952.0
26145,52103.0,45849.0,48990.0
26147,58547.0,51864.0,56441.0
26155,53552.0,53244.0,54456.0
26159,53585.0,47917.0,59295.0
26161,79024.0,65601.0,71860.0
26163,54883.0,43464.0,46390.0
27003,80465.0,76533.0,82492.0
42043,67318.0,60331.0,57814.0
42045,85160.0,67950.0,72045.0
42049,61074.0,48964.0,48007.0
42051,51273.0,43140.0,52984.0
42055,63111.0,60559.0,61208.0
42063,54605.0,42962.0,49448.0
42069,57422.0,47475.0,53302.0
42071,68433.0,61335.0,66277.0
42073,55029.0,46918.0,47853.0
42075,61910.0,57248.0,61362.0
42077,69488.0,60498.0,62278.0
42079,57183.0,46580.0,54433.0
42081,56198.0,49052.0,55045.0
42085,54724.0,49890.0,48847.0
42089,67588.0,60095.0,64170.0
42091,103201.0,84113.0,90122.0
42095,72336.0,66438.0,68591.0
42097,52061.0,47736.0,47160.0
42101,53088.0,41449.0,46116.0
42107,55310.0,50684.0,48458.0
42111,57152.0,43871.0,50988.0
42125,71155.0,57998.0,63251.0
42129,63866.0,56722.0,58471.0
42133,67679.0,62462.0,65239.0
44003,74767.0,63101.0,68994.0
44005,85672.0,73596.0,83822.0
44007,65158.0,52369.0,56461.0
44009,88164.0,77813.0,89847.0
45003,61047.0,45945.0,51932.0
45007,54882.0,45090.0,51699.0
45013,77906.0,65919.0,65607.0
45015,64589.0,59153.0,62994.0
45019,70877.0,56827.0,63459.0
45031,43781.0,36841.0,33521.0
45035,64326.0,57637.0,66438.0
45041,58827.0,46524.0,48790.0
45045,66756.0,55342.0,61183.0
45047,53204.0,38200.0,42245.0
45051,53603.0,45621.0,49047.0
45057,56033.0,56216.0,57224.0
45059,47363.0,44038.0,41452.0
45063,65019.0,57382.0,60154.0
45073,60250.0,43743.0,47132.0
45075,42870.0,32450.0,36536.0
45077,50157.0,45779.0,47148.0
45079,63796.0,52030.0,52159.0
45083,51901.0,47371.0,53581.0
45085,52151.0,40614.0,45994.0
45091,68194.0,60767.0,64319.0
46099,63296.0,60038.0,58742.0
46103,64765.0,50950.0,59006.0
47001,54575.0,46055.0,50616.0
47009,58799.0,51183.0,58809.0
47011,50965.0,44853.0,50560.0
47037,64256.0,54855.0,60856.0
47059,47621.0,41109.0,47383.0
47065,66062.0,47898.0,57280.0
47093,63374.0,52102.0,55632.0
47113,55442.0,41791.0,45360.0
47119,55347.0,50591.0,53794.0
47125,57973.0,56112.0,56019.0
47141,48392.0,37437.0,45199.0
47147,66150.0,60423.0,69079.0
47149,65285.0,61157.0,63739.0
47155,52766.0,45609.0,47411.0
47157,63851.0,47690.0,47500.0
47163,54824.0,42859.0,44652.0
47165,72544.0,60503.0,65948.0
47179,60409.0,46276.0,48765.0
47187,119987.0,106054.0,110700.0
47189,71382.0,71153.0,76756.0
48005,57960.0,41161.0,47519.0
48021,69392.0,56508.0,69067.0
48027,62007.0,52275.0,54495.0
48029,66822.0,53210.0,54149.0
48037,53841.0,45997.0,47134.0
48039,81695.0,74799.0,73623.0
48041,57618.0,41559.0,50110.0
48061,45975.0,37061.0,38378.0
48085,102819.0,89638.0,96051.0
48091,77744.0,77425.0,76203.0
48099,60048.0,51125.0,46131.0
48113,69495.0,54399.0,59839.0
48121,89794.0,80613.0,88117.0
48135,64801.0,53254.0,64165.0
48139,70121.0,70210.0,77794.0
48141,55089.0,42165.0,43958.0
48157,105422.0,90680.0,91931.0
48167,79881.0,64939.0,73840.0
48181,60727.0,52095.0,51158.0
48183,58778.0,44219.0,51361.0
48187,73831.0,68157.0,74459.0
48201,76381.0,56377.0,60232.0
48203,56880.0,46548.0,50561.0
48209,75120.0,64658.0,65943.0
48213,51177.0,44088.0,42020.0
48215,48970.0,36176.0,39165.0
48231,54928.0,53962.0,55248.0
48245,58989.0,45390.0,47177.0
48251,66109.0,59895.0,62390.0
48257,70022.0,62033.0,66668.0
48291,61670.0,42877.0,51955.0
48303,59805.0,49136.0,50505.0
48309,55708.0,46860.0,48713.0
48329,88809.0,65349.0,81210.0
48339,90791.0,71123.0,76929.0
48347,47450.0,35562.0,46459.0
48355,63463.0,54318.0,54560.0
48361,63090.0,53480.0,56420.0
48367,84256.0,66548.0,72004.0
48375,48773.0,42305.0,40797.0
48381,68005.0,67015.0,70108.0
48397,103825.0,95731.0,100595.0
48409,63262.0,53348.0,55018.0
48423,63318.0,52572.0,58226.0
48439,74982.0,61534.0,66063.0
48441,61157.0,48803.0,47508.0
48451,57720.0,48696.0,52283.0
48453,82317.0,70158.0,76392.0
48469,66646.0,53778.0,50210.0
48471,55301.0,42662.0,40100.0
48479,49932.0,35659.0,46862.0
48485,62102.0,44769.0,47373.0
48491,80863.0,81818.0,87454.0
49005,60735.0,58003.0,59248.0
49011,81154.0,76905.0,84358.0
49035,75556.0,68665.0,73801.0
49049,71964.0,69799.0,75349.0
49053,57883.0,55056.0,56333.0
49057,63678.0,63158.0,68669.0
50007,79430.0,68843.0,75852.0
51003,100459.0,71975.0,78584.0
51013,127539.0,110388.0,122394.0
51015,59668.0,55342.0,59820.0
51019,70860.0,56479.0,64084.0
51041,85634.0,76059.0,80655.0
51059,138039.0,115717.0,122227.0
51061,103593.0,94347.0,92145.0
51069,78735.0,69827.0,80953.0
51085,85907.0,83135.0,91309.0
51087,79292.0,66337.0,68069.0
51095,96058.0,83455.0,83190.0
51107,137993.0,134464.0,139915.0
51121,60051.0,55706.0,51932.0
51153,111101.0,97986.0,107925.0
51161,73856.0,60454.0,68595.0
51165,61843.0,57755.0,61199.0
51177,88007.0,81146.0,88431.0
51179,111411.0,97484.0,110307.0
51199,87555.0,89418.0,83593.0
51510,110919.0,87920.0,101215.0
51550,79560.0,72928.0,80265.0
51650,62339.0,50435.0,55466.0
51680,52602.0,41264.0,42389.0
51700,59589.0,50524.0,50180.0
51710,60955.0,46467.0,49587.0
51740,54717.0,48516.0,47919.0
51760,57898.0,42373.0,48987.0
51770,51118.0,37044.0,42711.0
51800,77578.0,66669.0,71829.0
51810,79970.0,71117.0,77059.0
53005,77448.0,62508.0,68115.0
53007,63120.0,52080.0,57132.0
53009,52767.0,48587.0,59001.0
